date,value
1989-03-15,2167.5329
1989-03-22,2144.6115
1989-03-29,2137.6564
1989-04-05,2157.699
1989-04-12,2149.5851
1989-04-19,2149.6591
1989-04-26,2161.0786
1989-05-03,2152.6932
1989-05-10,2154.7104
1989-05-17,2154.1042
1989-05-24,2158.484
1989-05-31,2163.6414
1989-06-07,2158.5868
1989-06-14,2151.8753
1989-06-21,2161.1324
1989-06-28,2151.7725
1989-07-05,2184.4234
1989-07-12,2177.4169
1989-07-19,2173.428
1989-07-26,2187.667
1989-08-02,2185.9098
1989-08-09,2186.1028
1989-08-16,2188.5418
1989-08-23,2191.4329
1989-08-30,2176.513
1989-09-06,2199.9028
1989-09-13,2189.6359
1989-09-20,2204.0404
1989-09-27,2199.15
1989-10-04,2211.2694
1989-10-11,2215.61
1989-10-18,2214.5402
1989-10-25,2229.2668
1989-11-01,2244.9538
1989-11-08,2221.4081
1989-11-15,2242.6054
1989-11-22,2237.2602
1989-11-29,2213.9227
1989-12-06,2234.6499
1989-12-13,2233.893
1989-12-20,2246.2102
1989-12-27,2243.8471
1990-01-03,2252.8553
1990-01-10,2256.6027
1990-01-17,2265.0411
1990-01-24,2247.5689
1990-01-31,2254.7989
1990-02-07,2254.7892
1990-02-14,2248.2352
1990-02-21,2264.6417
1990-02-28,2265.7692
1990-03-07,2255.2389
1990-03-14,2265.6789
1990-03-21,2261.7028
1990-03-28,2268.8783
1990-04-04,2274.1768
1990-04-11,2275.887
1990-04-18,2266.1358
1990-04-25,2278.8627
1990-05-02,2274.7866
1990-05-09,2275.095
1990-05-16,2283.7282
1990-05-23,2288.701
1990-05-30,2275.5626
1990-06-06,2287.795
1990-06-13,2287.4322
1990-06-20,2297.818
1990-06-27,2304.5171
1990-07-04,2312.5575
1990-07-11,2306.012
1990-07-18,2306.1719
1990-07-25,2318.3121
1990-08-01,2326.8051
1990-08-08,2309.6838
1990-08-15,2338.6191
1990-08-22,2318.7678
1990-08-29,2302.6504
1990-09-05,2329.4234
1990-09-12,2309.6124
1990-09-19,2319.954
1990-09-26,2322.9183
1990-10-03,2326.5572
1990-10-10,2331.2416
1990-10-17,2306.5159
1990-10-24,2325.3665
1990-10-31,2324.1127
1990-11-07,2314.7833
1990-11-14,2333.9966
1990-11-21,2329.7807
1990-11-28,2310.151
1990-12-05,2333.5527
1990-12-12,2334.4227
1990-12-19,2329.938
1990-12-26,2343.3488
1991-01-02,2357.2256
1991-01-09,2349.21
1991-01-16,2337.7146
1991-01-23,2371.3139
1991-01-30,2352.9659
1991-02-06,2373.8486
1991-02-13,2371.1716
1991-02-20,2388.0629
1991-02-27,2378.9038
1991-03-06,2384.617
1991-03-13,2396.7472
1991-03-20,2394.9241
1991-03-27,2411.4044
1991-04-03,2395.9939
1991-04-10,2405.0977
1991-04-17,2397.5542
1991-04-24,2409.6798
1991-05-01,2431.0304
1991-05-08,2409.8
1991-05-15,2436.7886
1991-05-22,2420.1699
1991-05-29,2410.0693
1991-06-05,2422.6764
1991-06-12,2431.2287
1991-06-19,2419.5558
1991-06-26,2445.7005
1991-07-03,2421.7723
1991-07-10,2429.9525
1991-07-17,2428.1484
1991-07-24,2447.2076
1991-07-31,2446.79
1991-08-07,2446.1485
1991-08-14,2445.4085
1991-08-21,2454.5177
1991-08-28,2451.8292
1991-09-04,2462.7426
1991-09-11,2434.9919
1991-09-18,2452.2387
1991-09-25,2462.4144
1991-10-02,2464.6559
1991-10-09,2437.287
1991-10-16,2465.3697
1991-10-23,2457.9411
1991-10-30,2448.7741
1991-11-06,2454.1496
1991-11-13,2474.3993
1991-11-20,2460.037
1991-11-27,2484.2862
1991-12-04,2467.0951
1991-12-11,2473.755
1991-12-18,2453.3421
1991-12-25,2483.3635
1992-01-01,2451.95
1992-01-08,2466.99
1992-01-15,2482.3672
1992-01-22,2485.0538
1992-01-29,2479.4049
1992-02-05,2492.788
1992-02-12,2484.6748
1992-02-19,2484.7736
1992-02-26,2476.6756
1992-03-04,2495.4748
1992-03-11,2496.4211
1992-03-18,2485.1194
1992-03-25,2503.1439
1992-04-01,2516.2217
1992-04-08,2483.5202
1992-04-15,2522.0302
1992-04-22,2485.5044
1992-04-29,2468.3258
1992-05-06,2481.8967
1992-05-13,2482.246
1992-05-20,2487.6908
1992-05-27,2487.8517
1992-06-03,2469.6307
1992-06-10,2487.3302
1992-06-17,2471.2965
1992-06-24,2492.7165
1992-07-01,2497.9019
1992-07-08,2466.0356
1992-07-15,2499.5983
1992-07-22,2485.7993
1992-07-29,2467.009
1992-08-05,2485.9533
1992-08-12,2486.5503
1992-08-19,2478.2877
1992-08-26,2489.9021
1992-09-02,2477.7141
1992-09-09,2488.6891
1992-09-16,2500.1582
1992-09-23,2484.8358
1992-09-30,2491.3142
1992-10-07,2485.351
1992-10-14,2507.0249
1992-10-21,2497.4818
1992-10-28,2497.677
1992-11-04,2504.3778
1992-11-11,2508.6853
1992-11-18,2477.2904
1992-11-25,2513.1427
1992-12-02,2496.3762
1992-12-09,2499.2586
1992-12-16,2497.3478
1992-12-23,2512.6105
1992-12-30,2481.7753
1993-01-06,2490.7723
1993-01-13,2491.0252
1993-01-20,2489.7778
1993-01-27,2489.0059
1993-02-03,2491.3231
1993-02-10,2496.1246
1993-02-17,2498.905
